trade_date,signal_date,side,code,price,shares,notional,reason,entry_rank,momentum_rank,pnl_pct,holding_days,mae,mfe
2024-02-07,2024-02-06,sell,CIBR.US,57.25,0.006780384028,0.3881769856,hysteresis,28,27,0.04604422581,26,-0.01980631542,0.05024666587
2024-02-07,2024-02-06,buy,IHI.US,57.52999878,0.006747383867,0.3881769856,entry,1,1,,,,
2024-02-09,2024-02-08,sell,URA.US,29.85000038,0.009603409937,0.2866617903,weak,35,35,-0.06980366969,7,-0.07385480922,0.002181355391
2024-02-09,2024-02-08,buy,FDN.US,202.9299927,0.001412614205,0.2866617903,entry,2,2,,,,
2024-02-13,2024-02-12,sell,IHI.US,56.18999863,0.006747383867,0.3791354902,hysteresis,28,29,-0.02329219852,6,-0.02051104346,0.001912056539
2024-02-13,2024-02-12,buy,XHB.US,96.66999817,0.003921956112,0.3791354902,entry,1,1,,,,
2024-02-20,2024-02-16,sell,XHB.US,97.40000153,0.003921956112,0.3819985313,hysteresis,27,22,0.007551498611,7,-0.005586023852,0.03351614311
2024-02-20,2024-02-16,buy,SHLD.US,30.80999947,0.01239852444,0.3819985313,entry,1,1,,,,
2024-02-21,2024-02-20,sell,FDN.US,194.7200012,0.001412614205,0.2750642397,weak,37,37,-0.0404572599,12,-0.03922530795,0.01350222043
2024-02-21,2024-02-20,buy,KIE.US,48.84999847,0.00563079321,0.2750642397,entry,2,2,,,,
2024-02-22,2024-02-21,sell,SMH.US,207.1799927,0.001941495816,0.4022390889,hysteresis,30,22,0.09729355095,31,-0.02468091585,0.0969757841
2024-02-22,2024-02-21,buy,MLPX.US,45.61000061,0.00881909852,0.4022390889,entry,2,5,,,,
2024-02-28,2024-02-27,sell,MLPX.US,45.49000168,0.00881909852,0.4011808065,hysteresis,25,22,-0.00263097852,6,-0.004823530317,0.007893019196
2024-02-28,2024-02-27,buy,XBI.US,102.2600021,0.003923144906,0.4011808065,entry,1,1,,,,
2024-03-04,2024-03-01,sell,KIE.US,49.56999969,0.00563079321,0.2791184177,weak,37,36,0.01473902238,12,-0.007778859064,0.02333681146
2024-03-04,2024-03-01,buy,SMH.US,224,0.001246064365,0.2791184177,entry,2,2,,,,
2024-03-12,2024-03-11,sell,XBI.US,96.65000153,0.003923144906,0.3791719611,weak,39,38,-0.0548601652,13,-0.05652257636,0.01232147937
2024-03-12,2024-03-11,buy,COPX.US,38.29999924,0.009900051402,0.3791719611,entry,1,3,,,,
2024-03-14,2024-03-13,sell,SHLD.US,32,0.01239852444,0.396752782,hysteresis,28,21,0.03862384144,23,-0.02142161178,0.05972093774
2024-03-14,2024-03-13,buy,XHB.US,106.6399994,0.003720487475,0.396752782,entry,1,2,,,,
2024-03-18,2024-03-15,sell,SMH.US,222.1699982,0.001246064365,0.2768381176,hysteresis,25,24,-0.008169651031,14,-0.03602681841,0.06758928299
2024-03-18,2024-03-15,buy,XLE.US,45.59500122,0.006071676943,0.2768381176,entry,2,2,,,,
2024-04-04,2024-04-03,sell,XHB.US,109.8099976,0.003720487475,0.4085467205,hysteresis,21,21,0.02972616455,21,-0.02484997694,0.04988746929
2024-04-04,2024-04-03,buy,SIL.US,30.5,0.01339497444,0.4085467205,entry,1,1,,,,
2024-04-25,2024-04-24,sell,COPX.US,44.77999878,0.009900051402,0.4433242897,hysteresis,32,30,0.1691905919,44,-0.01383808851,0.2336814867
2024-04-25,2024-04-24,buy,XLU.US,33.29000092,0.01331704048,0.4433242897,entry,1,1,,,,
2024-04-30,2024-04-29,sell,XLE.US,48,0.006071676943,0.2914404933,hysteresis,28,28,0.05274698355,43,-0.008334270379,0.08531635674
2024-04-30,2024-04-29,buy,COPX.US,46.77999878,0.006230023533,0.2914404933,entry,1,1,,,,
2024-05-06,2024-05-03,sell,SIL.US,31.71999931,0.01339497444,0.4248885801,weak,37,32,0.03999997749,32,-0.02229509197,0.0973770892
2024-05-06,2024-05-03,sell,COPX.US,47,0.006230023533,0.2928111061,hysteresis,27,26,0.004702890689,6,-0.03740915019,0.001068898099
2024-05-06,2024-05-03,buy,URA.US,31,0.01157580139,0.3588498431,entry,2,2,,,,
2024-05-06,2024-05-03,buy,KRE.US,50,0.007176996862,0.3588498431,entry,3,3,,,,
2024-05-14,2024-05-13,sell,URA.US,31.01000023,0.01157580139,0.3589656038,weak,36,35,0.0003225880284,8,-0.01387097759,0.04838709677
2024-05-14,2024-05-13,buy,SIL.US,32.75999832,0.01095743657,0.3589656038,entry,2,2,,,,
2024-05-17,2024-05-16,sell,KRE.US,51.02000046,0.007176996862,0.3661703832,hysteresis,29,26,0.02040000916,11,-0.01400001526,0.035
2024-05-17,2024-05-16,buy,SMH.US,233.5899963,0.001567577332,0.3661703832,entry,1,1,,,,
2024-06-05,2024-06-04,sell,SIL.US,32.65000153,0.01095743657,0.3577603208,weak,37,35,-0.003357655717,22,-0.01098891374,0.1034799566
2024-06-05,2024-06-04,buy,UFO.US,16.40999985,0.0218013604,0.3577603208,entry,1,5,,,,
2024-06-07,2024-06-06,sell,XLU.US,35.04999924,0.01331704048,0.4667622586,hysteresis,31,26,0.05286867747,43,-0.008711351984,0.09507362056
2024-06-07,2024-06-06,sell,UFO.US,16.43000031,0.0218013604,0.358196358,hysteresis,26,22,0.00121879695,2,-0.005179712691,0.007922063944
2024-06-07,2024-06-06,buy,QQQ.US,463,0.0008908840352,0.4124793083,entry,2,3,,,,
2024-06-07,2024-06-06,buy,XRT.US,76.97000122,0.005358961956,0.4124793083,entry,3,2,,,,
2024-06-12,2024-06-11,sell,XRT.US,77.26999664,0.005358961956,0.4140869724,hysteresis,23,23,0.003897562915,5,-0.02949206491,0.01221258187
2024-06-12,2024-06-11,buy,XLK.US,111.1800003,0.003724473567,0.4140869724,entry,2,2,,,,
2024-07-01,2024-06-28,sell,SMH.US,261,0.001567577332,0.4091376836,hysteresis,32,32,0.1173423695,45,-0.0212766013,0.1968406683
2024-07-01,2024-06-28,buy,MLPX.US,51.24000168,0.007984732049,0.4091376836,entry,1,2,,,,
2024-07-12,2024-07-11,sell,MLPX.US,51.86000061,0.007984732049,0.4140882089,weak,36,31,0.01209990069,11,-0.009953202957,0.01288055866
2024-07-12,2024-07-11,buy,XBI.US,98.87999725,0.004187785401,0.4140882089,entry,1,1,,,,
2024-07-15,2024-07-12,sell,QQQ.US,496.61,0.0008908840352,0.4424219207,hysteresis,34,29,0.07259179266,38,-0.003174946004,0.0875161987
2024-07-15,2024-07-12,sell,XLK.US,117.4950027,0.003724473567,0.437607032,hysteresis,25,22,0.05679980594,33,-0.001843873273,0.07096599539
2024-07-15,2024-07-12,buy,KRE.US,52.88999939,0.008319426762,0.4400144764,entry,1,1,,,,
